Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HDFC,W3,09-Sep-21,880.95,875,889,864.1,868.5,869.25,873.67,7200,6290400,12
HDFC,EQ,13-Sep-21,2830.1,2844,2875.85,2833.3,2846.05,2849.8,2854.53,3283960,9374158866,105113
HDFC,W3,13-Sep-21,869.25,885,904,875,875,878.25,882.67,42600,37601640,69
HDFC,EQ,14-Sep-21,2849.8,2864.95,2869,2810,2820.2,2818.05,2829.56,2238463,6333869738,79187
HDFC,W3,14-Sep-21,878.25,871.1,871.1,856,856,856,865.9,7800,6754020,13
HDFC,EQ,15-Sep-21,2818.05,2805.7,2843,2795,2817.05,2815.45,2817.39,1924840,5423022711,81827
HDFC,W3,15-Sep-21,856,856.05,870,851,856,856,857.01,18600,15940410,30
HDFC,EQ,16-Sep-21,2815.45,2800,2823.9,2798.5,2819.8,2812.35,2813.19,1831201,5151522833,74423
HDFC,W3,16-Sep-21,856,851,859,843,854,852.5,852.68,7200,6139290,12
HDFC,EQ,17-Sep-21,2812.35,2832.25,2851.95,2801.7,2823.9,2825.65,2827.14,4447386,12573392070,115382
HDFC,W3,17-Sep-21,852.5,869.95,889.8,855,872,870.05,870.6,15600,13581330,26
HDFC,EQ,20-Sep-21,2825.65,2795.3,2808.65,2733,2742,2742.5,2768.02,2057743,5695872943,96538
HDFC,W3,20-Sep-21,870.05,841,841,801.5,805,807.4,818.93,30000,24567750,50
HDFC,EQ,21-Sep-21,2742.5,2760,2780.7,2724.75,2773.2,2774.35,2752.91,2119275,5834171388,100753
HDFC,W3,21-Sep-21,807.4,818,835,800,822,831.35,825.43,13800,11390880,23
HDFC,EQ,22-Sep-21,2774.35,2765,2773.95,2717.7,2737,2734.7,2737.58,3054547,8362061151,119928
HDFC,W3,22-Sep-21,831.35,815,815,797,800,801.35,801.37,71400,57218010,46
HDFC,EQ,23-Sep-21,2734.7,2756.1,2828.5,2730,2825.15,2817.4,2774.89,3720965,10325269211,135360
HDFC,W3,23-Sep-21,801.35,812,870,810.95,870,864.05,850.94,81000,68926320,72
HDFC,EQ,24-Sep-21,2817.4,2818.6,2850,2800,2829.95,2839,2826.46,2433032,6876856565,115209
HDFC,W3,24-Sep-21,864.05,868,889.95,860,869,883.7,877.62,139200,122165250,102
HDFC,EQ,27-Sep-21,2839,2845.75,2869.4,2824.8,2835,2839.8,2848.6,2684448,7646929876,116914
HDFC,W3,27-Sep-21,883.7,893.9,911.9,893.9,900,900,901.14,28800,25952790,47
HDFC,EQ,28-Sep-21,2839.8,2842,2850,2760.95,2802,2804.95,2811.05,2645677,7437131096,145453
HDFC,W3,28-Sep-21,900,899.65,899.65,840,880,882.05,864.04,51000,44065890,77
HDFC,EQ,29-Sep-21,2804.95,2786.5,2792.95,2739.1,2747.35,2746.45,2761.29,3333322,9204268169,146771
HDFC,W3,29-Sep-21,882.05,850,865,826,847,841.4,842.17,48000,40424190,78
HDFC,EQ,30-Sep-21,2746.45,2729.9,2785,2721.2,2744.2,2754.3,2758.59,4186802,11549652775,169948
HDFC,W3,30-Sep-21,841.4,840,850,832.05,832.05,832.05,841.41,6600,5553300,11
HDFC,EQ,01-Oct-21,2754.3,2738.6,2752,2693.6,2710,2711.65,2712.62,2462648,6680224604,124536
HDFC,W3,01-Oct-21,832.05,825,826,796,807,807,808.7,40200,32509710,40
HDFC,BL,04-Oct-21,2464.3,2711.65,2711.65,2711.65,2711.65,2711.65,2711.65,1626963,4411754219,1
HDFC,EQ,04-Oct-21,2711.65,2740.15,2770,2720.6,2725,2725.2,2740.23,2170643,5948053491,95964
HDFC,W3,04-Oct-21,807,825,840.05,823.2,824,827.3,829.77,97800,81151440,45
HDFC,EQ,05-Oct-21,2725.2,2720,2754.95,2715.45,2744.25,2741.45,2739.7,2125952,5824477719,114611
HDFC,W3,05-Oct-21,827.3,815.1,830,815.1,822.5,822.4,822.5,60600,49843620,22
